ion, x, y, z, vx, vy, vz, energy, elev, azim
52, 230.00, -21.51, 25.79, 27.86, -4.60, -52.16, 0.01, 28.02, 174.95
 52, 325.00, -23.07, 18.64, 1186.91, -21.15, -36.69, 4.01, 87.96, 150.04 
53, 230.00, 65.91, -23.12, 21.40, -54.34, 10.36, 0.01, 21.15, 79.21
 53, 325.00, 61.64, -22.96, 1187.62, 2.92, -10.39, 4.01, 89.48, -164.32 
54, 230.00, -31.41, 21.66, 14.69, -0.55, 57.46, 0.01, 14.34, 0.55
 54, 325.00, -32.78, 31.58, 1185.04, -21.90, 75.81, 4.01, 86.19, 16.11 
55, 230.00, 35.36, 93.38, 13.34, 36.49, 44.81, 0.01, 12.99, -39.15
 55, 325.00, 63.08, 158.24, 1035.16, 223.29, 531.24, 3.99, 60.90, -22.80 
56, 230.00, -31.94, -7.86, 28.97, 21.19, -47.22, 0.01, 29.23, -155.83
 56, 325.00, -29.87, -15.53, 1186.35, 0.19, -55.97, 4.01, 87.30, -179.80 
57, 230.00, 38.13, -9.57, 35.83, -36.61, -29.90, 0.01, 37.17, 129.24
 57, 325.00, 33.99, -14.58, 1186.98, -12.63, -38.44, 4.01, 88.05, 161.81 
58, 230.00, -69.09, -67.87, 51.00, -12.21, -27.70, 0.01, 59.30, 156.21
 58, 325.00, -86.64, -87.33, 1152.38, -195.97, -210.07, 4.01, 76.00, 136.99 
59, 230.00, -97.25, -2.51, 46.51, -21.01, 30.22, 0.01, 51.64, 34.81
 59, 325.00, -123.14, 1.18, 1152.46, -286.00, 27.03, 4.01, 76.00, 84.60 
60, 230.00, -7.03, -36.74, 48.64, -20.64, -26.95, 0.01, 55.09, 142.54
 60, 325.00, -10.47, -42.33, 1186.17, -26.64, -53.35, 4.01, 87.12, 153.47 
61, 230.00, -35.58, 5.75, 31.92, -47.36, -16.01, 0.01, 32.56, 108.68
 61, 325.00, -44.35, 3.49, 1185.28, -74.21, -13.14, 4.01, 86.36, 100.04 
62, 230.00, -3.82, 48.05, 3.40, -32.91, 49.22, 0.01, 3.29, 33.76
 62, 325.00, -9.21, 58.08, 1183.75, -38.04, 88.64, 4.01, 85.34, 23.22 
63, 230.00, 84.26, -17.41, 37.25, -45.90, 4.78, 0.01, 38.91, 84.05
 63, 325.00, 86.14, -18.49, 1185.51, 68.88, -19.38, 4.01, 86.55, -105.72 
64, 230.00, 6.97, 0.39, 20.47, 40.96, -37.70, 0.01, 20.19, -132.63
 64, 630.00, 32.54, -17.91, 1450.52, 84.03, -54.82, 6.01, 86.04, -123.12 
65, 230.00, 10.81, -41.84, 27.40, 51.17, -12.18, 0.01, 27.51, -103.39
 65, 325.00, 19.23, -45.51, 1185.30, 61.95, -42.15, 4.01, 86.38, -124.23 
66, 230.00, 73.39, 14.53, 16.12, -52.49, 22.41, 0.01, 15.77, 66.88
 66, 325.00, 70.56, 18.99, 1186.85, 19.82, 39.46, 4.01, 87.87, -26.68 
67, 230.00, -92.96, 18.87, 1.61, 27.01, 52.78, 0.01, 1.55, -27.10
 67, 325.00, -105.37, 29.92, 1171.05, -170.99, 99.94, 4.01, 80.40, 59.69 
68, 230.00, -42.44, 13.09, 11.81, -48.42, -32.15, 0.01, 11.48, 123.58
 68, 325.00, -51.92, 8.60, 1184.59, -81.77, -24.94, 4.01, 85.87, 106.96 
69, 230.00, 15.04, -93.51, 34.29, 47.28, -10.31, 0.01, 35.32, -102.31
 69, 325.00, 24.66, -112.50, 1163.21, 86.90, -223.43, 4.01, 78.35, -158.75 
70, 230.00, -35.81, -89.78, 25.87, -22.67, 48.32, 0.01, 25.86, 25.14
 70, 325.00, -46.03, -100.42, 1172.18, -109.41, -156.88, 4.01, 80.73, 145.11 
71, 230.00, -56.37, 64.39, 27.36, 43.75, -29.24, 0.01, 27.47, -123.75
 71, 325.00, -55.50, 66.48, 1185.92, -30.00, 57.01, 4.01, 86.89, 27.76 
72, 230.00, -95.69, 2.31, 27.05, 23.15, -47.43, 0.01, 27.13, -153.99
 72, 325.00, -110.02, -4.06, 1171.55, -189.13, -47.75, 4.01, 80.55, 104.17 
73, 230.00, 24.25, -20.64, 24.39, 42.08, 33.94, 0.01, 24.29, -51.11
 73, 325.00, 31.78, -16.12, 1185.87, 61.56, 22.01, 4.01, 86.84, -70.33 
74, 230.00, 34.64, -44.14, 57.05, 15.92, -3.07, 0.01, 74.14, -100.92
 74, 325.00, 38.78, -46.82, 1186.21, 44.53, -38.38, 4.01, 87.16, -130.76 
75, 230.00, 44.09, 81.05, 24.49, 16.19, -51.53, 0.01, 24.38, -162.56
 75, 325.00, 52.67, 84.97, 1180.12, 98.30, 90.52, 4.01, 83.54, -47.36 
76, 230.00, -19.61, 3.48, 50.85, -21.90, -21.27, 0.01, 59.01, 134.16
 76, 325.00, -23.75, 0.33, 1186.71, -43.32, -20.16, 4.01, 87.69, 114.95 
77, 230.00, -24.36, -23.00, 1.27, 28.59, 51.95, 0.01, 1.22, -28.83
 77, 325.00, -20.76, -15.61, 1187.03, 10.62, 37.27, 4.01, 88.13, -15.90 
78, 230.00, -81.86, -5.44, 57.19, 10.91, -11.33, 0.01, 74.62, -136.07
 78, 325.00, -87.91, -7.60, 1183.62, -95.95, -19.52, 4.01, 85.27, 101.50 
79, 230.00, -44.24, -50.78, 56.27, 13.34, 13.15, 0.01, 71.59, -45.42
 79, 325.00, -44.94, -51.90, 1186.91, -26.68, -32.94, 4.01, 87.95, 141.00 
80, 230.00, -24.74, 89.93, 29.24, 47.25, 20.73, 0.01, 29.54, -66.31
 80, 325.00, -21.97, 107.83, 1169.22, 1.66, 208.61, 4.01, 79.88, -0.46 
81, 230.00, 47.87, -8.34, 10.90, -33.14, -47.96, 0.01, 10.59, 145.36
 81, 325.00, 44.76, -16.24, 1186.30, -1.19, -57.04, 4.01, 87.25, 178.81 
82, 230.00, -16.08, -11.25, 26.02, -45.35, 28.01, 0.01, 26.02, 58.30
 82, 325.00, -23.84, -7.28, 1185.73, -64.53, 20.58, 4.01, 86.73, 72.31 
83, 230.00, 22.23, 75.31, 22.30, 38.40, -39.32, 0.01, 22.08, -135.68
 83, 325.00, 29.86, 75.50, 1184.84, 67.98, 45.75, 4.01, 86.04, -56.06 
84, 230.00, -76.78, -24.20, 39.34, -35.37, -26.81, 0.01, 41.56, 127.16
 84, 325.00, -89.55, -30.56, 1177.29, -143.65, -62.45, 4.01, 82.42, 113.50 
85, 230.00, -25.41, 10.84, 31.64, 5.33, 49.88, 0.01, 32.24, -6.09
 85, 325.00, -25.54, 19.03, 1186.02, -12.56, 61.23, 4.01, 86.98, 11.59 
86, 230.00, 41.06, 65.28, 3.00, 10.39, 58.31, 0.01, 2.90, -10.10
 86, 325.00, 46.36, 80.17, 1176.69, 64.11, 147.85, 4.01, 82.20, -23.44 
87, 230.00, 32.35, 9.23, 10.24, 58.42, -0.55, 0.01, 9.94, -90.54
 87, 325.00, 42.87, 9.51, 1184.70, 83.76, 5.59, 4.01, 85.95, -86.18 
88, 230.00, 20.82, 64.90, 26.16, 29.52, 44.29, 0.01, 26.17, -33.68
 88, 325.00, 26.79, 76.18, 1180.85, 53.56, 115.23, 4.01, 83.86, -24.93 
89, 230.00, -36.86, -76.78, 31.49, 50.21, 2.10, 0.01, 32.07, -87.60
 89, 325.00, -33.22, -84.41, 1182.83, 2.59, -107.12, 4.01, 84.82, -178.61 
90, 230.00, 33.88, -86.87, 26.61, 23.00, 47.76, 0.01, 26.65, -25.72
 90, 325.00, 42.31, -92.99, 1178.79, 90.41, -113.25, 4.01, 82.99, -141.40 
91, 230.00, -44.80, -62.36, 11.08, -38.75, -43.51, 0.01, 10.76, 138.31
 91, 325.00, -54.76, -74.62, 1176.61, -99.68, -127.32, 4.01, 82.18, 141.94 
92, 230.00, 42.52, 50.65, 40.77, -41.10, 12.91, 0.01, 43.42, 72.56
 92, 325.00, 38.82, 55.63, 1186.14, -5.41, 60.01, 4.01, 87.09, 5.15 
93, 230.00, 54.78, -83.26, 54.02, -21.46, 11.77, 0.01, 65.63, 61.25
 93, 325.00, 69.93, -109.16, 1142.27, 168.01, -278.58, 4.01, 74.10, -148.91 
94, 230.00, 56.49, 4.29, 41.15, 32.52, -27.69, 0.01, 43.93, -130.41
 94, 325.00, 64.41, 0.29, 1184.61, 81.10, -26.09, 4.01, 85.89, -107.83 
95, 230.00, -5.53, 79.96, 29.00, 51.70, -1.78, 0.01, 29.27, -91.97
 95, 325.00, 1.75, 86.82, 1182.47, 49.50, 99.34, 4.01, 84.64, -26.49 
96, 230.00, -8.35, -47.67, 23.91, -39.90, 36.79, 0.01, 23.78, 47.32
 96, 325.00, -14.92, -44.01, 1186.67, -48.39, 5.33, 4.01, 87.65, 83.72 
97, 230.00, 42.84, 9.81, 43.12, 33.78, -22.74, 0.01, 46.64, -123.95
 97, 325.00, 49.85, 6.74, 1185.71, 65.92, -17.27, 4.01, 86.71, -104.68 
98, 230.00, 55.66, -54.22, 22.40, 45.93, 30.11, 0.01, 22.19, -56.75
 98, 325.00, 67.37, -54.26, 1181.31, 118.09, -33.27, 4.01, 84.07, -105.73 
99, 230.00, -49.53, 1.68, 34.51, 26.33, -40.42, 0.01, 35.58, -146.92
 99, 325.00, -47.65, -4.47, 1186.91, -7.48, -41.78, 4.01, 87.95, 169.85 
100, 230.00, -27.23, 26.13, 48.65, -21.27, -26.42, 0.01, 55.12, 141.17
 100, 325.00, -31.56, 23.11, 1186.91, -41.11, -10.30, 4.01, 87.96, 104.06 
