3/22/2024	
User name: Benedetta-Federico
Cooldown number: CD187
Number of segments: 200
Record lenght: 1000
Time : 1.000000E-5
Laser: 406nm,	16.5 mW
Attenuation: 
Temperature: 40.5 mK
I_bias: 165.999 uA
Filter: 

Resource name:PXI1Slot2_1
Acquisition time:1.615797E+2

Amplitude	Counts
V
1.370785E+0	1.639000E+3
1.371933E+0	1.673000E+3
1.373081E+0	1.609000E+3
1.374229E+0	1.678000E+3
1.375377E+0	1.667000E+3
1.376525E+0	1.692000E+3
1.377673E+0	1.735000E+3
1.378821E+0	1.724000E+3
1.379969E+0	1.862000E+3
1.381117E+0	1.929000E+3
1.382265E+0	1.999000E+3
1.383413E+0	1.915000E+3
1.384561E+0	1.978000E+3
1.385709E+0	1.934000E+3
1.386857E+0	1.940000E+3
1.388005E+0	1.909000E+3
1.389153E+0	1.861000E+3
1.390301E+0	1.909000E+3
1.391449E+0	1.874000E+3
1.392597E+0	1.808000E+3
1.393745E+0	1.852000E+3
1.394893E+0	1.808000E+3
1.396041E+0	1.908000E+3
1.397189E+0	1.907000E+3
1.398337E+0	2.000000E+3
1.399485E+0	2.014000E+3
1.400633E+0	2.132000E+3
1.401781E+0	2.145000E+3
1.402929E+0	2.224000E+3
1.404077E+0	2.193000E+3
1.405226E+0	2.044000E+3
1.406374E+0	2.092000E+3
1.407522E+0	2.075000E+3
1.408670E+0	2.051000E+3
1.409818E+0	2.009000E+3
1.410966E+0	1.921000E+3
1.412114E+0	2.037000E+3
1.413262E+0	1.978000E+3
1.414410E+0	2.032000E+3
1.415558E+0	2.126000E+3
1.416706E+0	2.116000E+3
1.417854E+0	2.174000E+3
1.419002E+0	2.262000E+3
1.420150E+0	2.234000E+3
1.421298E+0	2.254000E+3
1.422446E+0	2.231000E+3
1.423594E+0	2.193000E+3
1.424742E+0	2.265000E+3
1.425890E+0	2.224000E+3
1.427038E+0	2.110000E+3
1.428186E+0	2.046000E+3
1.429334E+0	2.056000E+3
1.430482E+0	2.120000E+3
1.431630E+0	2.220000E+3
1.432778E+0	2.148000E+3
1.433926E+0	2.245000E+3
1.435074E+0	2.257000E+3
1.436222E+0	2.294000E+3
1.437370E+0	2.317000E+3
1.438518E+0	2.309000E+3
1.439666E+0	2.364000E+3
1.440815E+0	2.306000E+3
1.441963E+0	2.321000E+3
1.443111E+0	2.345000E+3
1.444259E+0	2.274000E+3
1.445407E+0	2.186000E+3
1.446555E+0	2.074000E+3
1.447703E+0	2.065000E+3
1.448851E+0	2.132000E+3
1.449999E+0	2.223000E+3
1.451147E+0	2.327000E+3
1.452295E+0	2.218000E+3
1.453443E+0	2.284000E+3
1.454591E+0	2.378000E+3
1.455739E+0	2.438000E+3
1.456887E+0	2.493000E+3
1.458035E+0	2.373000E+3
1.459183E+0	2.323000E+3
1.460331E+0	2.243000E+3
1.461479E+0	2.241000E+3
1.462627E+0	2.270000E+3
1.463775E+0	2.190000E+3
1.464923E+0	2.221000E+3
1.466071E+0	2.157000E+3
1.467219E+0	2.254000E+3
1.468367E+0	2.258000E+3
1.469515E+0	2.255000E+3
1.470663E+0	2.406000E+3
1.471811E+0	2.402000E+3
1.472959E+0	2.321000E+3
1.474107E+0	2.433000E+3
1.475255E+0	2.405000E+3
1.476403E+0	2.346000E+3
1.477552E+0	2.259000E+3
1.478700E+0	2.290000E+3
1.479848E+0	2.254000E+3
1.480996E+0	2.135000E+3
1.482144E+0	2.173000E+3
1.483292E+0	2.180000E+3
1.484440E+0	2.146000E+3
1.485588E+0	2.213000E+3
1.486736E+0	2.152000E+3
1.487884E+0	2.199000E+3
1.489032E+0	2.235000E+3
1.490180E+0	2.256000E+3
1.491328E+0	2.254000E+3
1.492476E+0	2.324000E+3
1.493624E+0	2.324000E+3
1.494772E+0	2.187000E+3
1.495920E+0	2.165000E+3
1.497068E+0	2.121000E+3
1.498216E+0	2.130000E+3
1.499364E+0	2.124000E+3
1.500512E+0	2.038000E+3
1.501660E+0	2.128000E+3
1.502808E+0	1.959000E+3
1.503956E+0	2.008000E+3
1.505104E+0	2.141000E+3
1.506252E+0	2.130000E+3
1.507400E+0	2.159000E+3
1.508548E+0	2.174000E+3
1.509696E+0	2.225000E+3
1.510844E+0	2.097000E+3
1.511992E+0	2.130000E+3
1.513141E+0	2.132000E+3
1.514289E+0	2.029000E+3
1.515437E+0	1.963000E+3
1.516585E+0	1.940000E+3
1.517733E+0	1.974000E+3
1.518881E+0	1.942000E+3
1.520029E+0	1.940000E+3
1.521177E+0	1.918000E+3
1.522325E+0	2.023000E+3
1.523473E+0	2.093000E+3
1.524621E+0	1.956000E+3
1.525769E+0	1.981000E+3
1.526917E+0	1.998000E+3
1.528065E+0	2.012000E+3
1.529213E+0	1.930000E+3
1.530361E+0	1.908000E+3
1.531509E+0	1.854000E+3
1.532657E+0	1.821000E+3
1.533805E+0	1.771000E+3
1.534953E+0	1.883000E+3
1.536101E+0	1.860000E+3
1.537249E+0	1.837000E+3
1.538397E+0	1.850000E+3
1.539545E+0	1.801000E+3
1.540693E+0	1.807000E+3
1.541841E+0	1.784000E+3
1.542989E+0	1.868000E+3
1.544137E+0	1.833000E+3
1.545285E+0	1.729000E+3
1.546433E+0	1.811000E+3
1.547581E+0	1.773000E+3
1.548729E+0	1.711000E+3
1.549878E+0	1.629000E+3
1.551026E+0	1.634000E+3
1.552174E+0	1.642000E+3
1.553322E+0	1.637000E+3
1.554470E+0	1.654000E+3
1.555618E+0	1.615000E+3
1.556766E+0	1.610000E+3
1.557914E+0	1.636000E+3
1.559062E+0	1.566000E+3
1.560210E+0	1.665000E+3
1.561358E+0	1.607000E+3
1.562506E+0	1.577000E+3
1.563654E+0	1.530000E+3
1.564802E+0	1.491000E+3
1.565950E+0	1.456000E+3
1.567098E+0	1.455000E+3
1.568246E+0	1.413000E+3
1.569394E+0	1.390000E+3
1.570542E+0	1.406000E+3
1.571690E+0	1.497000E+3
1.572838E+0	1.443000E+3
1.573986E+0	1.476000E+3
1.575134E+0	1.441000E+3
1.576282E+0	1.415000E+3
1.577430E+0	1.474000E+3
1.578578E+0	1.430000E+3
1.579726E+0	1.389000E+3
1.580874E+0	1.366000E+3
1.582022E+0	1.335000E+3
1.583170E+0	1.309000E+3
1.584318E+0	1.275000E+3
1.585467E+0	1.268000E+3
1.586615E+0	1.264000E+3
1.587763E+0	1.273000E+3
1.588911E+0	1.264000E+3
1.590059E+0	1.320000E+3
1.591207E+0	1.218000E+3
1.592355E+0	1.231000E+3
1.593503E+0	1.242000E+3
1.594651E+0	1.196000E+3
1.595799E+0	1.197000E+3
1.596947E+0	1.082000E+3
1.598095E+0	1.110000E+3
1.599243E+0	1.115000E+3
