ion,x0,y0,z0,vx0,vy0,vz0,ke0,elev0,azim0,x1,y1,z1,vx1,vy1,vz1,ke1,elev1,azim1
12, 325.000,83.551, -26.027, 5949.979, -129.829, -670.752, 101.980, 83.450, 169.045
13, 230.000, 93.428, 26.223, 720.911, 394.342, -168.242, 2.000, 59.260, -113.105
13, 325.000,116.242, 24.951, 5892.989, 1069.317, 5.389, 101.985, 79.715, -89.711
14, 230.000, -87.131, -38.594, 489.430, 39.652, 680.007, 2.000, 35.698, -3.337
14, 325.000,-93.628, -22.706, 5952.594, -409.914, 516.947, 101.979, 83.676, 38.413
15, 230.000, -30.491, -70.967, 399.556, -727.488, 120.996, 2.000, 28.448, 80.557
15, 325.000,-53.310, -70.496, 5927.502, -852.040, -89.278, 101.981, 81.776, 95.982
16, 230.000, -33.170, 53.137, 113.373, -126.713, 821.349, 2.000, 7.768, 8.770
16, 325.000,-38.306, 80.659, 5901.740, -218.517, 995.460, 101.981, 80.202, 12.381
17, 230.000, 55.017, 17.302, 440.794, 49.870, 711.855, 2.000, 31.704, -4.007
17, 325.000,57.980, 38.838, 5936.783, 166.588, 772.048, 101.981, 82.422, -12.176
18, 230.000, -2.797, 16.859, 356.117, -537.641, 536.328, 2.000, 25.124, 45.070
18, 325.000,-19.133, 33.441, 5933.128, -564.131, 590.728, 101.981, 82.161, 43.681
19, 230.000, 9.539, -95.947, 690.680, -436.122, 190.481, 2.000, 55.432, 66.406
19, 325.000,-1.497, -100.010, 5965.511, -405.274, -341.540, 101.978, 84.923, 130.122
20, 230.000, 17.277, -95.772, 5.913, -135.825, 827.672, 2.000, 0.404, 9.319
20, 325.000,14.554, -78.438, 5973.287, -63.147, 429.024, 101.978, 85.848, 8.373
21, 230.000, -69.784, -70.962, 445.120, 625.477, -337.892, 2.000, 32.052, -118.379
21, 325.000,-63.476, -91.773, 5912.732, 83.001, -950.505, 101.985, 80.833, -175.009
22, 230.000, -55.538, 34.465, 680.646, -470.132, 138.640, 2.000, 54.241, 73.569
22, 325.000,-70.659, 39.503, 5952.574, -620.314, 226.477, 101.981, 83.670, 69.943
23, 230.000, -6.098, 5.979, 464.933, -620.006, 320.863, 2.000, 33.663, 62.638
23, 325.000,-24.725, 15.682, 5940.229, -674.746, 357.173, 101.981, 82.676, 62.106
24, 230.000, 7.116, -52.714, 612.248, 470.609, -327.419, 2.000, 46.882, -124.828
24, 325.000,20.847, -63.452, 5951.909, 499.184, -441.358, 101.981, 83.612, -131.482
25, 230.000, -13.995, -18.224, 272.693, 522.328, -596.939, 2.000, 18.972, -138.814
25, 325.000,1.749, -36.926, 5930.364, 515.159, -659.239, 101.981, 81.970, -141.994
26, 230.000, -91.353, 16.928, 488.662, 673.668, 104.425, 2.000, 35.634, -81.189
26, 325.000,-77.971, 20.978, 5976.820, 339.294, 177.263, 101.980, 86.335, -62.415
27, 230.000, 31.123, -0.591, 796.988, 107.253, -238.393, 2.000, 71.841, -155.777
27, 325.000,34.756, -7.299, 5981.403, 174.426, -248.233, 101.981, 87.096, -144.905
28, 230.000, -2.252, 82.527, 383.814, -442.470, -600.359, 2.000, 27.232, 143.609
28, 325.000,-15.370, 68.210, 5958.007, -466.801, -391.640, 101.981, 84.161, 129.996
29, 230.000, 77.823, 58.510, 620.593, 470.775, 311.061, 2.000, 47.722, -56.546
29, 325.000,102.709, 76.015, 5833.887, 1104.835, 785.203, 101.987, 76.920, -54.599
30, 230.000, 7.553, 81.525, 357.192, 320.103, 688.093, 2.000, 25.205, -24.948
30, 325.000,17.531, 107.050, 5884.669, 367.347, 1051.217, 101.981, 79.285, -19.262
31, 230.000, 86.838, 25.545, 92.792, -783.007, 286.031, 2.000, 6.352, 69.933
31, 325.000,67.771, 35.652, 5954.118, -514.560, 390.817, 101.980, 83.806, 52.783
32, 230.000, -1.489, 24.287, 529.209, 436.165, -482.931, 2.000, 39.119, -137.913
32, 630.000,55.093, -6.244, 3266.162, 721.612, -261.006, 32.004, 76.779, -109.885
33, 230.000, -2.452, -72.106, 722.908, -341.960, 252.965, 2.000, 59.528, 53.508
