ion,x,y,z,vx,vy,vz,energy,elev,azim
 817, 325.00, 69.78, 10.83, 5927.06, 186.88, 68.42, 99.99, 88.08, -69.89 
818, 230.00, -59.08, 3.75, 58.59, -8.72, 2.91, 0.01, 81.08, 71.51
 818, 325.00, -60.94, 3.94, 5928.94, -130.79, 10.75, 99.99, 88.73, 85.30 
819, 230.00, 6.14, -20.81, 0.37, -27.21, 52.70, 0.01, 0.36, 27.30
 819, 325.00, 5.43, -19.68, 5929.91, 8.11, -74.15, 99.99, 89.28, -173.76 
820, 230.00, 8.35, 37.50, 23.10, -12.63, 53.14, 0.01, 22.92, 13.37
 820, 325.00, 8.12, 40.00, 5929.04, 2.85, 126.98, 99.99, 88.77, -1.29 
821, 230.00, 56.18, -11.91, 15.88, 56.66, 7.45, 0.01, 15.53, -82.51
 821, 325.00, 59.46, -11.99, 5927.85, 172.84, -16.46, 99.99, 88.32, -95.44 
822, 230.00, -59.53, 13.99, 18.44, -40.51, -39.20, 0.01, 18.12, 134.06
 822, 325.00, -62.48, 13.14, 5927.99, -168.67, -10.95, 99.99, 88.37, 93.71 
823, 230.00, -81.69, -55.15, 5.81, 28.28, -51.81, 0.01, 5.62, -151.37
 823, 325.00, -93.77, -65.42, 5874.44, -637.94, -506.80, 100.00, 82.10, 128.46 
824, 230.00, -30.58, 26.10, 34.81, -45.08, -16.55, 0.01, 35.94, 110.17
 824, 325.00, -32.67, 26.14, 5929.38, -104.81, 32.36, 99.99, 88.94, 72.84 
825, 230.00, 67.43, -70.62, 23.95, 52.74, 12.76, 0.01, 23.81, -76.40
 825, 325.00, 78.43, -80.10, 5882.22, 557.01, -510.45, 100.00, 82.68, -132.50 
826, 230.00, -11.37, -33.63, 38.23, 44.39, 9.26, 0.01, 40.13, -78.22
 826, 325.00, -10.21, -34.06, 5930.04, 22.58, -60.56, 99.99, 89.38, -159.55 
827, 230.00, 19.32, -32.64, 31.70, -19.57, -46.15, 0.01, 32.31, 157.02
 827, 325.00, 19.11, -34.81, 5929.33, 17.14, -111.28, 99.99, 88.91, -171.25 
828, 230.00, 88.30, -23.22, 21.65, 41.32, -36.63, 0.01, 21.41, -131.55
 828, 325.00, 96.62, -26.20, 5909.94, 468.89, -150.69, 99.99, 85.24, -107.82 
829, 230.00, 76.51, 56.41, 46.04, 37.39, 0.30, 0.01, 50.92, -89.54
 829, 325.00, 85.66, 62.34, 5900.20, 494.47, 335.49, 99.99, 84.22, -55.84 
830, 230.00, 70.04, -30.39, 35.67, -5.81, 47.02, 0.01, 36.98, 7.05
 830, 325.00, 72.68, -30.14, 5927.19, 191.57, -36.57, 99.99, 88.12, -100.81 
831, 230.00, 25.72, -85.22, 10.16, 58.29, -4.16, 0.01, 9.86, -94.09
 831, 325.00, 29.30, -91.22, 5916.33, 172.11, -369.99, 99.99, 86.05, -155.05 
832, 230.00, -63.18, -70.42, 1.80, 47.03, 36.10, 0.01, 1.74, -52.49
 832, 325.00, -67.80, -76.06, 5912.39, -299.83, -351.56, 99.99, 85.53, 139.54 
833, 230.00, 50.05, -31.50, 48.37, 15.58, 30.58, 0.01, 54.64, -27.00
 833, 325.00, 51.88, -31.38, 5929.11, 119.03, -33.04, 99.99, 88.81, -105.51 
834, 230.00, -70.55, 4.31, 45.29, 18.61, 33.47, 0.01, 49.78, -29.07
 834, 325.00, -72.39, 5.51, 5928.17, -156.18, 45.61, 99.99, 88.43, 73.72 
835, 230.00, 49.02, 75.37, 55.79, 5.24, 19.42, 0.01, 70.18, -15.10
 835, 325.00, 52.72, 81.42, 5915.42, 223.90, 356.32, 99.99, 85.93, -32.14 
836, 230.00, 93.44, 8.08, 19.31, 51.97, -21.06, 0.01, 19.00, -112.06
 836, 325.00, 103.95, 8.21, 5902.72, 571.37, 22.17, 99.99, 84.47, -87.78 
